partition_alpha,batch_size,lr,wd,epochs,client_num_in_total,cut_layer,num_ln,agg_type,ln_upscale,random_seed,db_id
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 3.0, 6.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 3.0, 7.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 3.0, 8.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 3.0, 9.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 4.0, 0.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 4.0, 1.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 4.0, 2.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 4.0, 3.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 4.0, 4.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 4.0, 5.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 4.0, 6.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 4.0, 7.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 4.0, 8.0
0.7792297153882992, 64.0, 0.04765911808680838, 0.00024400607090817517, 15.0, 11.0, 4.0, 7.0, 0.0, 3.0, 4.0, 9.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 0.0, 0.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 0.0, 1.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 0.0, 2.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 0.0, 3.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 0.0, 4.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 0.0, 5.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 0.0, 6.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 0.0, 7.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 0.0, 8.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 0.0, 9.0
