partition_alpha,batch_size,lr,wd,epochs,client_num_in_total,cut_layer,num_ln,agg_type,random_seed
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 8.0, 10.0, 0.0, 4.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 8.0, 10.0, 0.0, 5.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 8.0, 10.0, 0.0, 6.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 8.0, 10.0, 0.0, 7.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 8.0, 10.0, 0.0, 8.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 8.0, 10.0, 0.0, 9.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 9.0, 10.0, 0.0, 0.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 9.0, 10.0, 0.0, 1.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 9.0, 10.0, 0.0, 2.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 9.0, 10.0, 0.0, 3.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 9.0, 10.0, 0.0, 4.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 9.0, 10.0, 0.0, 5.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 9.0, 10.0, 0.0, 6.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 9.0, 10.0, 0.0, 7.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 9.0, 10.0, 0.0, 8.0
20.0, 8.0, 0.01, 0.01, 15.0, 20.0, 9.0, 10.0, 0.0, 9.0
