[1.0, 0.0, 64.0, 0.1, 0.1, 10.0, 1.0, 20.0]
[1.0, 0.0, 32.0, 0.001, 0.001, 5.0, 1.0, 10.0]
[0.0, 1.0, 16.0, 0.1, 0.001, 10.0, 5.0, 10.0]
[1.0, 0.5, 32.0, 0.1, 0.001, 10.0, 10.0, 20.0]
[0.0, 0.0, 16.0, 0.01, 0.1, 10.0, 3.0, 10.0]
[0.0, 0.5, 32.0, 0.001, 0.01, 10.0, 3.0, 20.0]
[1.0, 0.5, 64.0, 0.1, 0.001, 10.0, 5.0, 10.0]
[0.0, 0.5, 16.0, 0.01, 0.001, 5.0, 10.0, 10.0]
[0.0, 0.5, 128.0, 0.01, 0.01, 5.0, 5.0, 10.0]
[1.0, 0.5, 32.0, 0.01, 0.01, 5.0, 20.0, 10.0]
[0.0, 0.0, 128.0, 0.01, 0.1, 5.0, 5.0, 20.0]
[1.0, 1.0, 16.0, 0.001, 0.001, 10.0, 3.0, 10.0]
[1.0, 0.5, 16.0, 0.001, 0.1, 5.0, 1.0, 10.0]
[1.0, 0.5, 64.0, 0.1, 0.01, 10.0, 10.0, 20.0]
[1.0, 0.5, 32.0, 0.1, 0.01, 5.0, 20.0, 20.0]
[0.0, 1.0, 128.0, 0.01, 0.01, 5.0, 10.0, 20.0]
[1.0, 0.5, 16.0, 0.1, 0.001, 10.0, 1.0, 20.0]
[0.0, 0.0, 16.0, 0.001, 0.001, 10.0, 3.0, 20.0]
[1.0, 1.0, 64.0, 0.1, 0.01, 5.0, 20.0, 10.0]
[0.0, 1.0, 128.0, 0.1, 0.1, 10.0, 5.0, 10.0]
[1.0, 0.0, 32.0, 0.01, 0.1, 10.0, 3.0, 20.0]
[0.0, 0.5, 64.0, 0.001, 0.1, 5.0, 5.0, 20.0]
[1.0, 0.0, 32.0, 0.1, 0.1, 10.0, 5.0, 20.0]
[0.0, 0.5, 64.0, 0.001, 0.1, 5.0, 3.0, 20.0]
[1.0, 0.0, 16.0, 0.001, 0.001, 5.0, 20.0, 20.0]
[1.0, 1.0, 32.0, 0.1, 0.1, 10.0, 1.0, 10.0]
[0.0, 0.5, 16.0, 0.001, 0.001, 5.0, 10.0, 10.0]
[1.0, 1.0, 64.0, 0.001, 0.1, 10.0, 1.0, 20.0]
[1.0, 0.0, 64.0, 0.1, 0.1, 10.0, 1.0, 20.0]
[1.0, 0.5, 16.0, 0.1, 0.1, 5.0, 1.0, 20.0]
